id,alias,name,image_url,is_closed,url,review_count,categories,rating,phone,display_phone,distance,location_address1,location_city,location_zip_code,business_url,price
XcOcP2_Jjxwgn-pkNdm64Q,trochez-general-flooring-south-sioux-city,Trochez General Flooring,https://s3-media3.fl.yelpcdn.com/bphoto/XaPh0zKyz0JcPraEN8hDwA/o.jpg,FALSE,https://www.yelp.com/biz/trochez-general-flooring-south-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,Flooring,0,+17127102646,(712) 710-2646,36071.36133,,South Sioux City,68776,,
Vt-j1DswG0Ua2MQ-VM8phQ,lemus-floors-sioux-city-4,Lemus Flooring,https://s3-media4.fl.yelpcdn.com/bphoto/pcUdIKD8u5tZR0CWB_KP6g/o.jpg,FALSE,https://www.yelp.com/biz/lemus-floors-sioux-city-4?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,2,"Flooring, Carpet Installation, Tiling",5,+17122049082,(712) 204-9082,27041.51844,430 State Highway 105,North Sioux City,57049,https://www.lemusfloors.com,
LCgy8F-n_w31sIPFAkocWg,es-contracting-sioux-city,ES Contracting,https://s3-media3.fl.yelpcdn.com/bphoto/_3k5lUa1CuWHQ0JXzYqorg/o.jpg,FALSE,https://www.yelp.com/biz/es-contracting-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Lawn Services, General Contractors",0,+17125095621,(712) 509-5621,33904.6841,,Sioux City,51101,,
O04VYzAGSmgTD3vbNFFmuA,servicemaster-of-sooland-south-sioux-city-3,ServiceMaster of Sooland,https://s3-media2.fl.yelpcdn.com/bphoto/82PWA1oqo1jo19hKwKM-0w/o.jpg,FALSE,https://www.yelp.com/biz/servicemaster-of-sooland-south-sioux-city-3?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,2,"Carpet Cleaning, Damage Restoration, Office Cleaning",5,+14022794562,(402) 279-4562,35364.08813,1905 A St,South Sioux City,68776,https://www.servicemasterrestore.com/servicemaster-of-sooland/,
sQK3LuHtctPAbEHySPwlIw,chris-pierce-construction-sioux-city,Chris Pierce Construction,https://s3-media3.fl.yelpcdn.com/bphoto/AczYqRtPl_AgorwnmqfA-A/o.jpg,FALSE,https://www.yelp.com/biz/chris-pierce-construction-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,2,"Drywall Installation & Repair, General Contractors, Painters",3,+17125743674,(712) 574-3674,37775.65129,4028 Morningside Ave,Sioux City,51106,http://chrispierceconstructionllc.com,
bvN4IR4Bg6LXeARtwTgRCQ,cjs-handyman-services-lincoln-3,CJ's Handyman Services,,FALSE,https://www.yelp.com/biz/cjs-handyman-services-lincoln-3?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Handyman, General Contractors",0,+14028907155,(402) 890-7155,219261.9104,,Lincoln,68502,,
fB7q1M6WdPgm4uDBW-_dPA,five-star-bath-solutions-sioux-falls,Five Star Bath Solutions,https://s3-media2.fl.yelpcdn.com/bphoto/_k80bF5UJEFflIw_7Bedbg/o.jpg,FALSE,https://www.yelp.com/biz/five-star-bath-solutions-sioux-falls?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Kitchen & Bath, Plumbing, General Contractors",0,+16056674423,(605) 667-4423,83793.57539,5013 S Louise Ave,Sioux Falls,57108,https://fivestarbathsolutions.com/sioux-falls-sd/,
XPRIht_1ZOW9-QfE-m70FA,creations-renovations-sioux-city-2,Creations Renovations,https://s3-media1.fl.yelpcdn.com/bphoto/h0Nhid0au0L0DzkG9geE2Q/o.jpg,FALSE,https://www.yelp.com/biz/creations-renovations-sioux-city-2?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"General Contractors, Decks & Railing",0,+17128980387,(712) 898-0387,7245.464898,,Sioux City,57025,,
72Lx4N7X7YR4_Vcbq4jpXA,oxi-fresh-carpet-cleaning-north-sioux-city,Oxi Fresh Carpet Cleaning,,FALSE,https://www.yelp.com/biz/oxi-fresh-carpet-cleaning-north-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Carpet Cleaning, Tiling, Grout Services",0,+16059793100,(605) 979-3100,26014.35929,,North Sioux City,57049,https://www.oxifresh.com/locations/sd/north-sioux-city-carpet-cleaning/,
D-jRMdWf6OliTjl6N6RuJQ,ultimate-floor-care-sergeant-bluff,Ultimate Floor Care,https://s3-media3.fl.yelpcdn.com/bphoto/B4Y-vX1v-f74mb6LZMguuQ/o.jpg,FALSE,https://www.yelp.com/biz/ultimate-floor-care-sergeant-bluff?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Office Cleaning, Carpet Cleaning, Grout Services",0,+17122121847,(712) 212-1847,44539.98607,,Sergeant Bluff,51054,https://www.ultimatefloorcare.biz,
PHD-9zV4ibkuFKR-Lcchxg,rock-solid-slingers-doon,Rock Solid Slingers,https://s3-media1.fl.yelpcdn.com/bphoto/0bg6d_B2_z0i5jVMXB6U2A/o.jpg,FALSE,https://www.yelp.com/biz/rock-solid-slingers-doon?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"General Contractors, Masonry/Concrete, Excavation Services",0,+16056795352,(605) 679-5352,66410.66922,3010 260th St,Doon,51235,http://www.rsslingers.com,
DcYkYn43ffHvpN04CekGwQ,conroy-construction-ponca,Conroy Construction,https://s3-media3.fl.yelpcdn.com/bphoto/AbXatR95vGZVplePNlfHBA/o.jpg,FALSE,https://www.yelp.com/biz/conroy-construction-ponca?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"General Contractors, Windows Installation, Door Sales/Installation",0,+17124586220,(712) 458-6220,22904.48659,,Ponca,68770,http://conroyconstructionllc.com,
8MNxJV6TpGn6k7g6h2L3bA,jensen-plumbing-vermillion,Jensen Plumbing,https://s3-media2.fl.yelpcdn.com/bphoto/6jzDgA4W5OuhLkq64MqNPw/o.jpg,FALSE,https://www.yelp.com/biz/jensen-plumbing-vermillion?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,1,"Plumbing, General Contractors",1,+16056703234,(605) 670-3234,31391.06409,,Vermillion,57069,,
_w8QScgfBGixYgWSGa9QOw,gutter-helmet-of-siouxland-sioux-city,Gutter Helmet of Siouxland,https://s3-media1.fl.yelpcdn.com/bphoto/GtaOuepTUHnl_jFcKEqlAQ/o.jpg,FALSE,https://www.yelp.com/biz/gutter-helmet-of-siouxland-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Gutter Services, General Contractors, Siding",0,+17122247200,(712) 224-7200,32845.38609,229 West 4th St,Sioux City,51103,http://www.siouxlandgutterhelmet.com,
HnaB5Tl46B1Cjo-NmM-kIg,bishop-construction-sioux-city,Bishop Construction,https://s3-media4.fl.yelpcdn.com/bphoto/fMLCmDbr8NAojdCBVLtldw/o.jpg,FALSE,https://www.yelp.com/biz/bishop-construction-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"General Contractors, Roofing, Siding",0,+17122516107,(712) 251-6107,29544.35233,,Sioux City,51104,,
kXL3CaJDvwDWImwAtpUYaw,by-george-construction-south-sioux-city,By George Construction,https://s3-media3.fl.yelpcdn.com/bphoto/pNRlSRW4ONhluQEEaq4RCw/o.jpg,FALSE,https://www.yelp.com/biz/by-george-construction-south-sioux-city?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,General Contractors,0,+14022415053,(402) 241-5053,36595.47906,309 E 32nd St,South Sioux City,68776,,
Txzd7nv0xDhZE-v9MNgScQ,feller-builders-le-mars,Feller Builders,https://s3-media1.fl.yelpcdn.com/bphoto/y9MrOCNYBPWb01l_utPQYQ/o.jpg,FALSE,https://www.yelp.com/biz/feller-builders-le-mars?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Handyman, General Contractors",0,+17124205553,(712) 420-5553,35313.33928,,Le Mars,51031,,
dFnPwvBkTUSziy1oWC4krw,roofing-plus-jewett-homes-lawton,Roofing Plus Jewett Homes,,FALSE,https://www.yelp.com/biz/roofing-plus-jewett-homes-lawton?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"General Contractors, Roofing",0,+17123891765,(712) 389-1765,46340.33852,,Lawton,51030,,
m0h0O9fcdK-40Er300Jlgg,helmut-sioux-falls,Helmut,https://s3-media3.fl.yelpcdn.com/bphoto/SpwtjiFtyuEUZgWdV_rtRw/o.jpg,FALSE,https://www.yelp.com/biz/helmut-sioux-falls?adjust_creative=6JlUvkeoq9A7uDMLRJlN5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6JlUvkeoq9A7uDMLRJlN5A,0,"Cabinetry, Countertop Installation, General Contractors",0,+16052992754,(605) 299-2754,89750.28817,910 N Main Ave,Sioux Falls,57104,http://www.helmut.com,
km6lkF2nsh8St5zqRNkKTQ,bowden-and-son-dudley-2,Bowden and Son,https://s3-media3.fl.yelpcdn.com/bphoto/7EsMG6IwTZKd-M-t7JwhOQ/o.jpg,FALSE,https://www.yelp.com/biz/bowden-and-son-dudley-2?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,1,"General Contractors, Flooring, Masonry/Concrete",5,+17742801143,(774) 280-1143,69721.23261,,Dudley,01571,https://bowdenandsonllc.com,
L_FxbQd5SCh1YGSrzYsnlg,blackwater-home-renovation-athol,Blackwater Home Renovation,https://s3-media4.fl.yelpcdn.com/bphoto/j-_cLOaUPZYJAStne0Sk-Q/o.jpg,FALSE,https://www.yelp.com/biz/blackwater-home-renovation-athol?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,3,"General Contractors, Flooring, Roofing",2.3,+14133257622,(413) 325-7622,17994.47753,,Athol,01331,http://Blackwaterhomereno.com,
WkW3MZRMHwa5xxAvOas0jg,better-home-remodeling-winchendon-5,Better Home Remodeling,https://s3-media1.fl.yelpcdn.com/bphoto/ZK3vKokQnfe5X1OWH2XkJA/o.jpg,FALSE,https://www.yelp.com/biz/better-home-remodeling-winchendon-5?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,5,"Siding, Roofing, Decks & Railing",1.8,+19783200263,(978) 320-0263,352.2638727,33 Walnut St,Winchendon,01475,https://curtiscote.wixsite.com/home-improvement,
kKdaWMinG-_VuCYywlGbxw,dias-hardwood-floors-athol-3,Dias Hardwood Floors,https://s3-media1.fl.yelpcdn.com/bphoto/BzYeEbAh_l4w3lqSn_oeUw/o.jpg,FALSE,https://www.yelp.com/biz/dias-hardwood-floors-athol-3?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,8,"Flooring, Refinishing Services",3.9,+19784131062,(978) 413-1062,17837.89384,102 Prospect St,Athol,01331,https://231971.crayon.world,
LQIUNB6liN878RTElwC3eA,square-up-construction-gardner-2,Square Up Construction,https://s3-media1.fl.yelpcdn.com/bphoto/Hid8Fd-aF254KmEAZNoGfA/o.jpg,FALSE,https://www.yelp.com/biz/square-up-construction-gardner-2?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,1,General Contractors,5,+19787324580,(978) 732-4580,10981.26659,68 Stuart St,Gardner,01440,,
MalF5CmcKiHWAEZmA1SI2g,epoxy-wizz-malden,Epoxy Wizz,https://s3-media1.fl.yelpcdn.com/bphoto/sxDMNMk5ybFH34aYyP-wBA/o.jpg,FALSE,https://www.yelp.com/biz/epoxy-wizz-malden?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,2,Flooring,5,+18578809800,(857) 880-9800,85380.34783,,Malden,02148,https://epoxywizz.com,
0BIKXp84gTxYxDT00HgcPg,double-d-flooring-and-property-worcester,Double D Flooring and Property,https://s3-media1.fl.yelpcdn.com/bphoto/Wp2LtQ6oDXZY-E_egP_YqA/o.jpg,FALSE,https://www.yelp.com/biz/double-d-flooring-and-property-worcester?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,1,"Flooring, Carpet Installation, Snow Removal",5,+17744526659,(774) 452-6659,52691.08904,,Worcester,01604,,
BcRTH9_dJo_pGURkrQiGGQ,triumph-interiors-rindge-8,Triumph Interiors,https://s3-media4.fl.yelpcdn.com/bphoto/SADmzFMT9uXn00jpne0OZg/o.jpg,FALSE,https://www.yelp.com/biz/triumph-interiors-rindge-8?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,10,"Kitchen & Bath, Interior Design, Cabinetry",4.6,+16038995184,(603) 899-5184,9191.167666,1090 Nh Rt 119,Rindge,03461,http://triumphkm.com,
K8JB_k2Wpe1B3s1Y_Rh9bw,ducharme-construction-winchendon,Ducharme Construction,,FALSE,https://www.yelp.com/biz/ducharme-construction-winchendon?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,0,General Contractors,0,+19784136629,(978) 413-6629,174.4825469,,Winchendon,01475,,
9GeNP3HqeIwbvYGu9I2yNg,small-project-specialists-northfield-2,Small Project Specialists,https://s3-media3.fl.yelpcdn.com/bphoto/W87rVzhupYnncKMAvarxNQ/o.jpg,FALSE,https://www.yelp.com/biz/small-project-specialists-northfield-2?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,0,"Handyman, General Contractors, TV Mounting",0,,,32180.34433,,Northfield,01360,http://www.smallprojectspecialists.com,
TqthFb4UfcADLUFEWw9uHg,kc-custom-flooring-gardner,KC Custom Flooring,https://s3-media2.fl.yelpcdn.com/bphoto/NkTM3sFk5ijsbehGSAMJcQ/o.jpg,FALSE,https://www.yelp.com/biz/kc-custom-flooring-gardner?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,0,"Flooring, Refinishing Services",0,+19787272124,(978) 727-2124,11253.59464,,Gardner,01440,,
D_qsyk_ULiLeAkrxR7gKUA,3b-mechanical-winchendon,3B Mechanical,,FALSE,https://www.yelp.com/biz/3b-mechanical-winchendon?adjust_creative=oRcRyntrR66sTv_KlpYSeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oRcRyntrR66sTv_KlpYSeQ,0,General Contractors,0,+19788684412,(978) 868-4412,745.6416439,,Winchendon,01475,http://3bmechtech.com,